Content ID,Reaction Type,Date,Category,Sentiment,Score
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,Saturday,technology,negative,12
c2d6e707-f00e-4fa4-a193-eb36272f58df,super love,Monday,veganism,positive,75
51a26a10-6973-4882-aa88-98b53978ce01,super love,Monday,veganism,positive,75
2d7084fb-b457-4813-829f-73911025eeaa,intrigued,Monday,cooking,positive,45
4fa14453-7b29-4302-b51f-9aa23b472c1b,want,Monday,animals,positive,70
76898916-4024-4c32-909b-dd240879d76a,super love,Thursday,animals,positive,75
abecd821-ad3d-43b0-a550-aadd9d267072,indifferent,Tuesday,tennis,neutral,20
fa39acec-96b1-441d-8f85-16dfb44bdfba,adore,Monday,culture,positive,72
8ed94c6d-bcb3-460c-aa5f-69199d2495e5,indifferent,Thursday,soccer,neutral,20
b8368fca-8fe3-4768-beed-5056cff63c23,peeking,Monday,technology,neutral,35
25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,like,Thursday,veganism,positive,50
f24f469f-53f1-4901-b6c5-18827ae0a103,love,Wednesday,culture,positive,65
062cbf2f-fc22-4357-8890-63e7f13fcd37,intrigued,Tuesday,education,positive,45
4b1c315b-84a8-400a-bb49-9fec7dc767d5,heart,Thursday,fitness,positive,60
54e29395-9eba-4945-abee-cad58cbab090,adore,Thursday,science,positive,72
839d117b-c764-4930-99f2-a6e4d1b47790,indifferent,Thursday,cooking,neutral,20
d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,dislike,Friday,healthy eating,negative,10
10683ab8-914b-43ae-ad2d-b2fd6a48dc33,interested,Wednesday,soccer,positive,30
3e64dfe3-e832-4352-a170-9806f64ac507,disgust,Tuesday,healthy eating,negative,0
78713905-362f-4a87-9671-adab5f1e0e67,peeking,Thursday,dogs,neutral,35
bc8024c3-c51e-4875-b8df-419e9848f492,scared,Thursday,veganism,negative,15
bfeb6117-9179-469d-9ea8-8f41a251a5fc,adore,Saturday,fitness,positive,72
145ed259-6151-4021-bc13-a0b5482e5bd8,intrigued,Friday,technology,positive,45
88cbf75c-79f0-42cb-8733-af670f39d6e0,hate,Wednesday,animals,negative,5
daab7b1a-fc8d-473e-bbf3-b29f4185ae56,heart,Thursday,science,positive,60
178f85a7-c2d1-4127-94d2-30adf96ae7fd,worried,Saturday,science,negative,12
1c6be4a3-85ae-48da-81ff-44262690af51,want,Saturday,education,positive,70
a82b8250-08aa-47a5-97c4-19f30f236179,worried,Tuesday,culture,negative,12
67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,Thursday,cooking,negative,0
4b1c315b-84a8-400a-bb49-9fec7dc767d5,dislike,Friday,fitness,negative,10
e3bb5693-091c-47de-b4b7-78e28b5fbb98,worried,Saturday,education,negative,12
a0606e08-1798-44f5-a575-28e82f79dfe3,disgust,Wednesday,veganism,negative,0
6519b8ec-1253-4f91-8abb-3c5a04eccd2b,hate,Sunday,animals,negative,5
6796d3e9-ee98-47cb-b057-90cfaf6ebcbb,peeking,Friday,technology,neutral,35
17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,Tuesday,cooking,positive,75
b38723f3-878c-4308-b173-14f03639d9b8,disgust,Friday,travel,negative,0
b9bfb48f-a6b6-4c15-869a-1acceea04fca,super love,Monday,soccer,positive,75
0a390a93-0e59-4a7a-a12c-d3f5ce4924fe,heart,Monday,public speaking,positive,60
43e53b12-71cb-4aad-9cb7-8c3572053230,peeking,Thursday,fitness,neutral,35
16fb5dcb-4349-4831-acf2-8c116ad7dae5,peeking,Monday,technology,neutral,35
217f4060-b378-4d79-992f-20502d407f7c,interested,Saturday,cooking,positive,30
79818849-98f9-4b6b-9be8-4ed4c1ad59a5,love,Sunday,fitness,positive,65
a03b3048-776e-4925-a52e-f6b1760a1be4,indifferent,Sunday,education,neutral,20
b467bf5d-1bcd-4c52-a667-6b88269ad02a,dislike,Tuesday,dogs,negative,10
52be2c2f-be1f-4cda-a2d6-5c147c018115,dislike,Saturday,food,negative,10
e4127cae-c2e9-4321-919a-be6d11636808,disgust,Thursday,science,negative,0
efffd88f-7ddb-4579-bbf2-e3d248c122b4,intrigued,Tuesday,tennis,positive,45
7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,peeking,Wednesday,animals,neutral,35
581634a6-14c7-4c0a-8c7f-34238e58cf6a,love,Wednesday,veganism,positive,65
74989207-b147-4a13-89b8-f0d868dfdf4a,dislike,Sunday,science,negative,10
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,cherish,Sunday,science,positive,70
bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c,dislike,Friday,culture,negative,10
b6ecb09e-a706-4589-bb75-70cb1cc590eb,peeking,Sunday,culture,neutral,35
5c7fa152-9628-471d-b715-84e15c4b5d38,disgust,Tuesday,tennis,negative,0
fa39acec-96b1-441d-8f85-16dfb44bdfba,indifferent,Thursday,culture,neutral,20
9bc09268-79e8-4402-ba22-ffd1e45fa66d,adore,Friday,travel,positive,72
2eb32cf2-da20-4b27-b4b6-c91716f528a5,adore,Tuesday,veganism,positive,72
4e659bd8-44b6-41a3-893c-c528474a29c9,cherish,Thursday,education,positive,70
70b0202f-cd58-42fe-acd9-7b2f8cf9e7c6,dislike,Sunday,cooking,negative,10
7bbce877-eb47-4ad3-9a57-7ec4a0190f1b,peeking,Friday,travel,neutral,35
f01ec49c-3179-43bb-b127-2b1a73f34b06,interested,Wednesday,animals,positive,30
24f994fa-51d4-4e5e-bdac-79de67e7afbb,disgust,Friday,food,negative,0
60ca0278-5ed6-4669-939b-e6dc2021c07d,love,Friday,technology,positive,65
697af362-e84b-4429-b4ea-4123c6ab44ba,intrigued,Friday,science,positive,45
496645a7-64f7-4c56-94f5-a71671cb262e,want,Tuesday,dogs,positive,70
24f994fa-51d4-4e5e-bdac-79de67e7afbb,interested,Wednesday,food,positive,30
e1b4a0fe-5069-4765-8170-ef44ab8f102c,worried,Sunday,tennis,negative,12
26c02731-b5d8-4ad3-99a2-5e589e107937,like,Sunday,studying,positive,50
8490c29c-177f-4c21-9d37-d509f9287f30,cherish,Wednesday,tennis,positive,70
56b0b1ab-a07c-4379-b699-80ccc8689c85,adore,Thursday,culture,positive,72
eaddee3e-3a23-47cd-9785-ab7f2120a293,indifferent,Wednesday,science,neutral,20
e949f4c9-81b0-44dd-8a69-0c233134bccd,want,Monday,culture,positive,70
ab07c995-56e6-462c-9325-bd4a2ffd8c39,like,Monday,tennis,positive,50
34f73132-fff6-4f01-a5ec-4b4b66461fc7,indifferent,Sunday,fitness,neutral,20
d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,interested,Sunday,healthy eating,positive,30
8ec8db61-8bea-440b-88ee-f1f593eb4a7f,worried,Sunday,education,negative,12
451b228b-9d66-45a4-b6fa-46c502562b5f,interested,Monday,healthy eating,positive,30
b38723f3-878c-4308-b173-14f03639d9b8,cherish,Wednesday,travel,positive,70
c5e2d733-94b9-4259-85e8-6fb7a95a1887,disgust,Thursday,tennis,negative,0
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,adore,Saturday,travel,positive,72
cebae43b-4f77-4689-86e0-66fb107d5eef,disgust,Saturday,culture,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,heart,Monday,public speaking,positive,60
95fe7e7c-f327-4a0a-af06-5a88346f8546,want,Thursday,science,positive,70
b0dd04df-83a1-470f-80ad-bb173a5e44bc,worried,Thursday,cooking,negative,12
2ceee25a-8461-4409-ab41-7a72d97d722d,hate,Monday,animals,negative,5
eec5dae8-e4d0-4b15-80a9-ac55352cb5ca,dislike,Wednesday,cooking,negative,10
e611ee64-7ada-428d-aa37-94c8c0782a91,intrigued,Wednesday,cooking,positive,45
59bb59ce-776b-4d28-85ee-c0d71c690b6a,like,Friday,animals,positive,50
afe1fed5-5639-45c7-89f8-ce9d1078c910,dislike,Thursday,cooking,negative,10
ef99fd68-74fb-4c72-bc70-742ebca14499,like,Thursday,soccer,positive,50
350e0d40-e036-459c-9cbe-73e003c33cfa,hate,Monday,technology,negative,5
d706b190-216c-4103-9107-fb7304766d68,adore,Wednesday,cooking,positive,72
2e866dc0-7c14-4e2a-9edb-9ccc1d1bd048,heart,Thursday,culture,positive,60
e2c433d2-096e-484e-8c69-28f0bb69f3b7,adore,Friday,science,positive,72
041bf6c9-8b33-4ca0-a787-762eb8837d0c,want,Wednesday,food,positive,70
